Title,Author,Playtime,Male Count,Female Count
世界の終わりで目をつむる,川名幸宏,90～120分,5,4
ユスリカ,川名幸宏,90～120分,5,4
君は即ち春を吸ひこんだのだ,原田ゆう,90～120分,4,3
大人の絵本の作り方,田中雅樹,90～120分,1,2
ナツヤスミ語辞典,成井豊,90～120分,7,11
銀河旋律,成井豊,40～60分,3,6
"After You,ve gone ",田中雅樹,90～120分,3,2
バージン・ブルース,大池容子,60～90分,3,1
ソノ先に在る、あるいは居るモノへ,吉岡克眞,2時間～3時間,5,15
私の娘でいて欲しい,吉岡克眞,90～120分,2,9
害悪,升味加耀,60～90分,0,7
一遍,重信臣聡,90～120分,10,5
荒野1/7,高木登,60～90分,4,3
Fumiko,重信臣聡,90～120分,10,6
TEA FOR TWO　二人でお茶を,関根信一,90～120分,2,0
五臓六腑色懺悔,校倉元,90～120分,10,5
新・こころ,関根信一,90～120分,6,2
如竹散人乱拍子,松本淳子,2時間～3時間,7,8
しんじゃうおへや,南参,90～120分,8,5
ラッキ・アンハッピー,南参,20～40分,1,1
ミンナノウタ,松本淳子,60～90分,6,6
Save the 鉄観音,原田裕史,90～120分,8,4
とりはだ,原田裕史,2時間～3時間,6,6
イリアス〜怒りと戦争と運命についての叙事詩,木内宏昌,2時間～3時間,4,6
チェーコフ・イズ・グレート、バット...,木内宏昌,3時間以上,9,9
だけど涙が出ちゃう,工藤千夏,60～90分,1,3
囁谷シルバー男声合唱団,角ひろみ,90～120分,6,3
螢の光,角ひろみ,90～120分,2,3
私、洗濯機をさらいにいくわ,原田ゆう,40～60分,0,1
贋作マクベス,中屋敷法仁,40～60分,4,1
無差別,中屋敷法仁,60～90分,4,3
ばれんたいん・すとーんをさがせ！,高橋広間,60～90分,2,9
真夜中の太陽（高校演劇Ver.),工藤千夏,40～60分,1,10
トリガー,山田裕幸,60～90分,4,3
3sheep,山田裕幸,60～90分,2,1
ドキュメンタリー,古川健,90～120分,3,0
旗を高く掲げよ,古川健,2時間～3時間,6,4
大人の銀河鉄道の夜,小川大二郎,90～120分,5,5
関ケ原BOOGIE☆WOOGIE　～小早川の場合～,小川大二郎,90～120分,15,6
群れる青、トコロ。,守田慎之介,90～120分,2,6
ハレハレ。,守田慎之介,40～60分,3,5
河童,畑澤聖悟,40～60分,6,13
もしイタ～もし高校野球の女子マネージャーが青森の「イタコ」を呼んだら,畑澤聖悟,40～60分,7,15
あの子にあたらしいあさなんて二度とこなきゃいいのに,升味加耀,60～90分,1,4
振って、振られて　,くるみざわしん,40～60分,1,2
かえりみちの木,中村ケンシ,90～120分,4,5
追伸,中村ケンシ,60～90分,5,5
プラスチックプール,高木充子,60～90分,0,10
コースターター,一十口裏,90～120分,11,11
ダイヤのモンド,一十口裏,90～120分,9,9
くろねこちゃんとベージュねこちゃん,谷賢一,90～120分,3,3
アクアリウム,谷賢一,90～120分,6,3
逢坂～めぐりのめあて～,山谷典子,90～120分,4,4
青鬼,鈴木アツト,60～90分,2,1
輝く闇の沼の乾き,桶谷忠平,2時間～3時間,12,3
匂衣 -The blind and the dog-,鈴木アツト,60～90分,2,3
露の見た夢,久間勝彦,2時間～3時間,15,15
ふたたびの日は何色に咲く,山谷典子,2時間～3時間,9,7
星野君の二塁打の別府さんとその妻,くるみざわしん,60～90分,1,1
ラストシャフル,久間勝彦,90～120分,12,6
夢を見る,石原燃,90～120分,0,1
白い花を隠す,石原燃,90～120分,7,6
培養魚ーバイヨウナー,IJIN（浅葱康平）,60～90分,4,2
お手紙。,IJIN（浅葱康平）,60～90分,7,2
つややかに焦げてゆく,吉田康一,2時間～3時間,2,5
なんども手をふる,吉田康一,90～120分,3,4
イーハトーヴの雪,井伏銀太郎,20～40分,1,0
Requiem三部作,井伏銀太郎,60～90分,2,3
俺の酒が呑めない,古川貴義,90～120分,6,5
父が燃えない,古川貴義,90～120分,6,4
ナノニ(仮),若城八千代,20～40分,3,3
Say no Anee,若城八千代,20～40分,3,3
サイゴン陥落の日,中山夏樹,90～120分,7,7
海越えの花たち,長田育恵,2時間～3時間,6,4
髪をかきあげる,鈴江俊郎,60～90分,4,3
ともだちが来た,鈴江俊郎,60～90分,2,0
新生戯曲展 隠顕,宇里香菜,40～60分,4,2
新生戯曲展 謎解きの陥穽,宇里香菜,40～60分,5,2
帰り花,霜康司,2時間～3時間,11,4
白雲を望む,霜康司,2時間～3時間,10,5
おでんの味,高村明彦,60～90分,4,2
おでこにタトゥー,田中聡,90～120分,10,10
これっぽっちのうち。,棚瀬美幸,60～90分,3,3
カナリアの唄,務川智正,20～40分,2,3
Infinity,久光真央,90～120分,7,15
ドローイング,久光真央,90～120分,5,11
翔べ！　ジョニー,石黒秀和,60～90分,7,4
ワタシたちの物語,石黒秀和,60～90分,0,7
謳歌,高村明彦,60～90分,8,5
トラックメロウ,平塚直隆,60～90分,0,1
日本語私辞典,平塚直隆,60～90分,0,0
みえちゃったりする,福田卓郎,60～90分,0,2
千里眼の女,齋藤雅文,90～120分,14,3
有頂天作家　恋ぶみ屋一葉2020,齋藤雅文,90～120分,12,17
カンザキ,ピンク地底人3号,90～120分,5,3
信達義民芝居 太郎右衛門,清野和也,90～120分,11,4
こころ、ころろ,清野和也,20～40分,1,0
風立ちぬ,竹内銃一郎,90～120分,7,7
月ノ光,竹内銃一郎,90～120分,4,2
くだんの件,天野天街,60～90分,2,0
ラブ・スターズ・デイ,高橋広間,90～120分,2,4
US,大信ペリカン,90～120分,1,4
夕映えの職分,南出謙吾,40～60分,1,1
ちゃんとした夕暮れ,南出謙吾,20～40分,1,1
慎一の青春其の一,内田博司,90～120分,1,0
慎一の青春其の二,内田博司,90～120分,1,1
ドラマ・ドクター,川村毅,90～120分,5,1
４,川村毅,90～120分,5,0
妄膜剥離,川津羊太郎,90～120分,1,1
目病み猫と水のない水槽,川津羊太郎,40～60分,1,1
彼岸から　水波の隔て　神の旅　四角な関係vol.5,くまがいマキ,60～90分,0,1
風死して　汗音もたてずにして　落つ　四角な関係vol.2,くまがいマキ,20～40分,0,2
那須野の大地  ,広島友好,2時間～3時間,15,10
ハートフル・コメディ　家族百景　第七景『恋、おばあちゃんの』（雨の神宮外苑編）,広島友好,40～60分,1,5
恋はコソッと,永井寛孝,60～90分,3,5
エンドロールはお静かに,竹内介,2時間～3時間,9,8
宗達,森本洵司,2時間～3時間,14,1
はっけよいぺれったぺれった,永井寛孝,90～120分,6,6
いとしの儚,横内謙介,2時間～3時間,14,8
きらら浮世伝,横内謙介,2時間～3時間,14,4
うちに来るって本気ですか？,石原美か子,60～90分,3,4
ネズミ狩り,楢原 拓,90～120分,5,6
金の卵1960,三浦実夫,90～120分,6,3
金の卵1970,三浦実夫,2時間～3時間,10,5
それは秘密です。,楢原 拓,90～120分,9,5
さらば、愛おしき日々よ~麻倉次郎吉 愛の物語~,スズカチヒロ,40～60分,3,3
あの時、郵便局で。,スズカチヒロ,20～40分,3,1
バスタブで遊泳するあなたへ,石原美か子,90～120分,8,4
幸せの追求,宮下美和,90～120分,4,7
孤独、あるいはマルキドサドに学ぶ幸せな人生の過ごし方,松島寛和,90～120分,1,0
かみさまのつくりかた,竹内介,90～120分,8,11
希望の星,松島寛和,90～120分,4,7
月待ち町のストリッパー,瀧口敦子,90～120分,2,12
『共同執筆』,大谷美智浩,60～90分,3,2
夜曲,山﨑哲史,20～40分,1,1
人質に乾杯,山﨑哲史,60～90分,7,4
勇次Ⅱ,すぎうらとしはる,90～120分,10,4
バスで帰る女子大生,井上悠介,20～40分,0,1
アクティブな犬,井上悠介,20～40分,3,0
笑劇★モンスタードリーム,矢内文章,90～120分,5,5
日本文学盛衰史,平田オリザ,90～120分,8,8
眠れない夜なんてない,平田オリザ,90～120分,7,11
銀幕迷宮〈キネマ ラビリンス〉,小松杏里,2時間～3時間,10,8
ピカイア,小松杏里,90～120分,10,10
猿女のリレー,松村武,2時間～3時間,11,10
虚構の時,宮下美和,90～120分,6,6
「両面睨み節」～相四つで水入り～,松村武,2時間～3時間,11,10
その鉄塔に男たちはいるという,土田英生,90～120分,5,0
ぶた草の庭,土田英生,90～120分,6,4
埋没,中津留章仁,2時間～3時間,5,3
キョウド町グローバリズム行進曲,大信ペリカン,90～120分,2,3
ダム,嶽本あゆ美,2時間～3時間,8,1
ランダバウト,前島宏一郎,60～90分,4,4
正午,前島宏一郎,20～40分,0,2
安全区/Nanjingー堀田善衛『時間』より,嶽本あゆ美,90～120分,3,3
コーヒー・ダイアリー,村野玲子,40～60分,1,1
工場,堀川炎,60～90分,3,5
光、さえも,南慎介,90～120分,6,5
タイタニック・ポーカー,はせひろいち,90～120分,6,5
アインシュタインショック,はせひろいち,60～90分,5,4
春夏秋冬,堀川炎,60～90分,0,14
大砲の家族,泊篤志,90～120分,8,3
お熱い夜はいかが？,大谷美智浩,60～90分,5,5
赤いアンブレラ,すぎうらとしはる,60～90分,4,1
ガムガムファイター,池田美樹,90～120分,2,3
