作者名,title,man,woman,totalNumber,playtime,
上田誠,曲がれ！スプーン,8,2,10,110,1
田辺剛,その赤い点は血だ,7,0,7,,2
ケラリーノ・サンドロヴィッチ,消失,4,2,6,150,3
タニノクロウ,笑顔の砦,4,2,6,120,4
サリngROCK,富豪タイフーン,3,3,6,100,5
成井豊,ジャングルジャンクション,,,,,6
中村賢司,てのひらのさかな,2,3,5,80,7
柴幸男,反復かつ連続,0,1,10,15,8
成井豊,ハックルベリーにさよならを,5,3,8,60,6
野田秀樹,パンドラの鐘,,,12,130,9
別役実,マッチ売りの少女,2,2,4,90,10
田辺剛,渇いた蜃気楼,2,1,3,90,2
田辺剛,旅行者,3,6,9,120,2
本谷有希子,偏路,2,4,6,130,11
別役実,象,8,2,10,150,10
別役実,壊れた風景,4,3,7,90,10
高橋いさを,ある日、ぼくらは夢の中で出会う,4,0,4,,12
土田英生,燕のいる駅,5,2,7,110,13
坂手洋二,たった一人の戦争,9,13,12,,14
坂手洋二,ブレスレス ゴミ袋を呼吸する夜の物語,,,12,,14
横内謙介,愚者には見えないラ・マンチャの王様の裸,6,4,10,120,15
小幡欣治,神戸北ホテル,,,12,,16
野田秀樹,表にでろいっ！,2,1,3,80,9
野田秀樹,THE BEE,3,1,4,80,9
本谷有希子,甘え,2,3,5,90,11
土田英生,その鉄塔に男たちはいるという,5,0,5,90,13
岩松了,船上のピクニック,,,12,150,18
別役実,犬が西向きゃ尾は東,4,2,6,100,10
本谷有希子,来来来来,0,6,6,110,11
別役実,あの子はだあれ、だれでしょね,3,7,10,100,10
山内ケンジ,効率の優先,6,3,9,110,19
オノマリコ,解体されゆくアントニン･レーモンド建築 旧体育館の話,0,9,9,120,20
坂手洋二,いとこ同志,2,2,4,120,14
永井愛,歌わせたい男たち,3,2,5,110,21
坂手洋二,屋根裏,11,5,12,120,14
オノマリコ,男子校にはいじめが少ない？,9,1,10,60,20
久野那美,パノラマビールの夜,3,3,6,60,22
成井豊,百万年ピクニック,2,5,7,60,6
野田秀樹,赤鬼,3,1,4,80,9
鴻上尚史,グローブ・ジャングル,5,4,9,110,23
土田英生,約三十の嘘,4,2,6,100,13
中屋敷法仁,無差別,4,3,7,80,25
中屋敷法仁,天邪鬼,4,2,6,90,25
宮沢章夫,ヒネミ,,,12,110,26
鄭義信,ザ・寺山,,,,150,27
平田オリザ,東京ノート,8,12,12,100,28
鴻上尚史,スナフキンの手紙,4,3,7,120,23
松田正隆,海と日傘,4,4,8,110,29
鈴江俊郎,髪をかきあげる,4,3,7,120,30
松尾スズキ,ファンキー! 宇宙は見える所までしかない,,,,150,31
深津篤史,うちやまつり,6,7,,90,32
ケラリーノ・サンドロヴィッチ,フローズン・ビーチ,0,4,4,130,3
永井愛,兄帰る,4,4,8,150,21
三谷幸喜,オケピ!,9,4,,150,34
中島かずき,アテルイ,27,15,,150,35
倉持裕,ワンマン・ショー,4,4,8,110,36
岡田利規,三月の5日間,5,2,7,90,37
宮藤官九郎,鈍獣,3,3,6,150,38
三浦大輔,愛の渦,7,5,,120,39
佃典彦,ぬけがら,7,4,,130,40
前田司郎,生きてるものはいないのか,10,8,,110,41
本谷有希子,幸せ最高ありがとうマジで!,2,4,6,120,11
蓬莱竜太,まほろば,0,7,7,120,42
柴幸男,わが星,4,4,8,90,8
松井周,自慢の息子,3,3,6,100,43
矢内原美邦,前向き！タイモン,2,1,3,,44
藤田貴大,かえりの合図、まってた食卓、そこ、きっと、しおふる世界。,,,,,45
ノゾエ征爾,○○トアル風景,8,3,,120,46
岩井秀人,ある女,5,2,7,90,47
赤堀雅秋,一丁目ぞめき,5,1,6,110,48
飴屋法水,ブルーシート,3,7,,90,49
山内ケンジ,トロワグロ,5,2,7,90,19
タニノクロウ,地獄谷温泉 無明ノ宿,4,4,8,130,4
上田誠,来てけつかるべき新世界,10,2,,130,1
福原充則,あたらしいエクスプロージョン,4,2,6,120,50
神里雄大,バルパライソの長い坂をくだる話,3,1,4,90,51
松原俊太郎,山山,4,3,7,90,52
