Title,groupurl,category,pay_labels
アルバート、はなして,劇団名彗星マジック,https://kan-geki.com/streaming/play/1,"カテゴリーファンタジー,ドラマ,",有料
空飛ぶ本屋さん～カウントダウンパーティ編,劇団名激団しろっとそん,https://kan-geki.com/streaming/play/9,"カテゴリーファンタジー,ドラマ,",有料
HYBRID ITEM,劇団名匿名劇壇,https://kan-geki.com/streaming/play/10,"カテゴリーその他,",有料
PUNK HOLIDAY,劇団名匿名劇壇,https://kan-geki.com/streaming/play/11,"カテゴリーその他,",有料
終末の予定,劇団名匿名劇壇,https://kan-geki.com/streaming/play/12,"カテゴリードラマ,その他,",有料
気持ちいい教育,劇団名匿名劇壇,https://kan-geki.com/streaming/play/13,"カテゴリードラマ,",有料
ごっこでいいから、手をつないでて,劇団名baghdadcafe’,https://kan-geki.com/streaming/play/14,"カテゴリーファンタジー,",有料
男子(2月3日公演),劇団名baghdadcafe’,https://kan-geki.com/streaming/play/15,"カテゴリーファンタジー,",有料
サヨナラ,劇団名baghdadcafe’,https://kan-geki.com/streaming/play/16,"カテゴリーファンタジー,ドラマ,",有料
犬公方踊る綱吉くん 日本ver,劇団名超人予備校,https://kan-geki.com/streaming/play/17,"カテゴリー時代劇（歴史劇）,ダンス・舞踏・パフォーマンス,",有料
トラにパンチ！,劇団名超人予備校,https://kan-geki.com/streaming/play/18,"カテゴリーコメディ,ダンス・舞踏・パフォーマンス,",有料
SQUARE AREA,劇団名劇団壱劇屋,https://kan-geki.com/streaming/play/19,"カテゴリードラマ,ミステリー・サスペンス,ダンス・舞踏・パフォーマンス,",有料
回想電車999,劇団名劇団壱劇屋,https://kan-geki.com/streaming/play/20,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
福喜多さんちの三兄弟,劇団名劇団925,https://kan-geki.com/streaming/play/21,"カテゴリードラマ,コメディ,",有料
福喜多さんちの三兄弟2,劇団名劇団925,https://kan-geki.com/streaming/play/22,"カテゴリードラマ,コメディ,",有料
福喜多さんちの三兄弟3,劇団名劇団925,https://kan-geki.com/streaming/play/23,"カテゴリードラマ,コメディ,",有料
不思議の國の二人のアリス,劇団名激団しろっとそん,https://kan-geki.com/streaming/play/24,"カテゴリーファンタジー,ミュージカル,",有料
空飛ぶ本屋さん～クリスマスパーティー編,劇団名激団しろっとそん,https://kan-geki.com/streaming/play/25,"カテゴリーファンタジー,",有料
地球のみなさん、悪く思わないでください,劇団名スイス銀行,https://kan-geki.com/streaming/play/26,"カテゴリードラマ,コメディ,",有料
107／ワン・オー・セブン,劇団名スイス銀行,https://kan-geki.com/streaming/play/27,"カテゴリードラマ,コメディ,",有料
探偵アリス,劇団名パノラマ党,https://kan-geki.com/streaming/play/28,"カテゴリーファンタジー,ミステリー・サスペンス,",有料
怪人坂の少女と、少女館の怪人,劇団名パノラマ党,https://kan-geki.com/streaming/play/29,"カテゴリーファンタジー,ミステリー・サスペンス,",有料
天使×マキナ,劇団名パノラマ党,https://kan-geki.com/streaming/play/30,"カテゴリーファンタジー,",有料
マクベス～破滅編 前編,劇団名カメハウス,https://kan-geki.com/streaming/play/31,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
マクベス～破滅編 後編,劇団名カメハウス,https://kan-geki.com/streaming/play/32,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
不思議の国のアリス,劇団名カメっとそん,https://kan-geki.com/streaming/play/33,"カテゴリーファンタジー,ダンス・舞踏・パフォーマンス,",有料
マクベス～革命編 前編,劇団名カメハウス,https://kan-geki.com/streaming/play/34,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
